ID,organization,state,industry,exposure,records
ITRC20170406-06,Edgar & AssociatesLLP,CA,Business,Yes - Published #,3803
ITRC20170407-03,Brophy Dailey & IncardonaLLP,NY,Business,Yes - Published #,831
ITRC20170407-04,Carlson Rezidor Hotel Group,MN,Business,Yes - Unknown ,Unknown
ITRC20170407-05,Gamestop,TX,Business,Yes - Published ,1338102
ITRC20170410-01,Solera HoldingInc.,TX,Business,Yes - Published #,4832
ITRC20170410-02,Envelopes Unlimited,MD,Business,Yes - Published ,542
ITRC20170410-03,Elbit Systems,NH,Business,Yes - Unknown ,Unknown
ITRC20170410-04,SarnovaInc.,OH,Business,Yes - Published #,720
ITRC20170411-01,HealthNow Networks,FL,Business,Yes - Published ,918000
ITRC20170412-03,Children's Place / Ceridian,NJ,Business,Yes - Published ,135
ITRC20170413-01,De Wafelbakkers,AR,Business,Yes - Unknown ,Unknown
ITRC20170413-02,Bank of America,CA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170413-03,TriTech Software Systems,CA,Business,Yes - Published ,863
ITRC20170413-04,River City Media,US,Business,Yes - Unknown ,Unknown
ITRC20170414-01,Neiman Marcus Group,TX,Business,Yes - Published ,6494
ITRC20170414-03,Alamo Capital Financial Services,CA,Banking/Credit/Financial,Yes - Published ,1537
ITRC20170414-04,Bluestem BrandsInc. / Fingerhut / Gettington,MN,Business,Yes - Published #,10897
ITRC20170414-05,Tidewater Transit CompanyInc.,NC,Business,Yes - Unknown #,Unknown
ITRC20170414-06,BankSouth Mortgage,GA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170417-02,DLD AccountancyLLP,CA,Business,Yes - Published #,818
ITRC20170417-05,Best American Hospitality Corp. / Shoney's,TN,Business,Yes - Unknown ,Unknown
ITRC20170417-06,One World DistributionInc. / Gildan,SD,Business,Yes - Published #,7552
ITRC20170417-07,FPI ManagementInc.,CA,Business,Yes - Unknown #,Unknown
ITRC20170417-08,Combat BrandsLLC,KS,Business,Yes - Published #,37863
ITRC20170417-09,JohnsonHearnVinegar & Gee,NC,Business,Yes - Published #,7958
ITRC20170417-12,Dutchland Plastics,WI,Business,Yes - Published ,424
ITRC20170418-01,Payless Décor LLC,GA,Business,Yes - Unknown ,Unknown
ITRC20170420-01,Another Broken Egg Café,SC,Business,Yes - Unknown ,Unknown
ITRC20170420-03,Citizens Financial Group (4/13),RI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170420-04,Citizens Financial Group (4/4/17),RI,Banking/Credit/Financial,Yes - Published ,461
ITRC20170420-05,Forest City Trading Group,OR,Business,Yes - Unknown ,Unknown
ITRC20170420-06,Saint-Gobain Corporation / Talx,PA,Business,Yes - Unknown ,Unknown
ITRC20170420-07,Dixon Hughes Goodman LLP,NC,Business,Yes - Published ,1500
ITRC20170420-08,prAna,CA,Business,Yes - Published ,391484
ITRC20170420-09,Schoolzilla,CA,Business,Yes - Published ,1300000
ITRC20170424-01,J Bauer CPAPLCC,AR,Business,Yes - Unknown #,Unknown
ITRC20170424-05,Northrop Grumman / Talx,VA,Business,Yes - Unknown ,Unknown
ITRC20170424-13,Blowout Cards,VA,Business,Yes - Published ,182
ITRC20170424-15,WildManey & Resnick,NY,Business,Yes - Published #,5261
ITRC20170424-17,Mary T. Inc.,MN,Business,Yes - Unknown ,Unknown
